mode,task,nodes,gens,n_in,n_out,hits,exp4_cpython,exp5_cpython,exp5_pypy
cgp,retina_ka2005,100,40000,8,1,248,0.15244,0.12919,0.01122
cgp,retina_ka2005,400,20000,8,1,256,0.30054,0.34669,0.04307
cgp,retina_ka2005,800,15000,8,1,246,0.49153,0.53471,0.07996
ecgp,retina_ka2005,100,10000,8,1,240,1.00783,0.85999,0.15494
ecgp,retina_ka2005,400,6000,8,1,228,3.92654,4.47873,0.8469
cgp,mult3,200,10000,6,6,350,,0.29858,0.03197
cgp,add4,200,10000,9,5,1944,,0.19756,0.03993
cgp,retina_x2,200,1500,16,2,106496,,0.23157,0.73626
